Date,Dealer,Exchange1,Exchange2,Type,Quantity,Limit,CommissionPaid,Price
2017/07/29,bitFlyer,JPY,ETH,BUY,2.1,23760,,49896
2017/08/03,zaif,JPY,XEM,BUY,15,25.76,0.015,386.415
2017/08/03,zaif,JPY,XEM,BUY,371,25.7699,0.371,9561.0039
2017/08/03,zaif,JPY,ZAIF,BUY,432.3,0.1189,0,51.40047
2017/08/04,zaif,JPY,BTC,BUY,0.0901,332963,0,30000
2017/08/04,zaif,BTC,XEM,BUY,1099,0.00008025,1.099,1.18719475
2017/08/06,zaif,BTC,ZAIF,BUY,21,0.00000034,0,0.00000714
2017/08/06,zaif,BTC,ZAIF,BUY,34178,0.00000033,0,0.01127874
2017/08/06,zaif,JPY,BTC,BUY,0.0256,390625,0,10000
2017/08/06,zaif,BTC,ZAIF,BUY,564,0.00000034,0,0.00019176
2017/08/06,zaif,BTC,ZAIF,BUY,35784,0.00000034,0,0.01216656
2017/08/06,zaif,BTC,ZAIF,BUY,9918,0.00000034,0,0.00337212
2017/08/06,zaif,BTC,ZAIF,BUY,1271,0.00000034,0,0.00043214
2017/08/06,zaif,BTC,ZAIF,BUY,163,0.00000034,0,0.00005542
2017/08/06,zaif,BTC,ZAIF,BUY,3,0.0000003,0,0.0000009
2017/08/06,zaif,BTC,ZAIF,BUY,1,0.00000031,0,0.00000031
2017/08/11,zaif,JPY,BTC,BUY,0.0475,421052,0,20000
2017/08/11,zaif,BTC,ZAIF,BUY,92939,0.0000003,0,0.0278817
2017/08/11,zaif,BTC,ZAIF,BUY,171,0.00000029,0,0.00004959
2017/08/11,zaif,BTC,ZAIF,BUY,55328,0.00000032,0,0.01770496
2017/08/13,zaif,JPY,ZAIF,BUY,14.8,0.1053,0,1.55844
2017/08/13,zaif,BTC,ZAIF,BUY,8103,0.00000023,0,0.00186369
2017/08/15,coincheck,JPY,XRP,BUY,1054.9,18.95914305,,20000
2017/08/18,zaif,JPY,BTC,BUY,0.1975,506329,0,100000
2017/08/18,zaif,BTC,ZAIF,BUY,387255,0.00000051,0,0.19750005
2017/08/19,zaif,BTC,XEM,SELL,750,0.00005805,0.00004354,0.04358104
2017/08/19,zaif,BTC,ZAIF,BUY,10320,0.00000084,0,0.0086688
2017/08/19,zaif,BTC,ZAIF,BUY,19165,0.00000075,0,0.01437375
2017/08/19,zaif,BTC,ZAIF,BUY,19,0.00000075,0,0.00001425
2017/08/19,zaif,BTC,ZAIF,BUY,74935,0.00000083,0,0.06219605
2017/08/19,zaif,BTC,XEM,SELL,733,0.00005805,0.00004255,0.0425932
2017/08/20,zaif,BTC,ZAIF,SELL,142,0.0000011,0,0.0001562
2017/08/20,zaif,BTC,ZAIF,SELL,141400,0.0000011,0,0.15554
2017/08/20,zaif,BTC,ZAIF,SELL,10,0.0000011,0,0.000011
2017/08/20,zaif,BTC,ZAIF,SELL,20,0.0000011,0,0.000022
2017/08/20,zaif,BTC,PEPECASH,BUY,1,0.00000425,0.0001,0.00010425
2017/08/20,zaif,BTC,ZAIF,SELL,26,0.0000011,0.00000003,0.00002863
2017/08/20,zaif,BTC,ZAIF,SELL,28550,0.0000011,0.0000314,0.0314364
2017/08/20,zaif,BTC,ZAIF,SELL,10000,0.0000011,0.000011,0.011011
2017/08/20,zaif,BTC,ZAIF,SELL,909,0.0000011,0.000001,0.0010009
2017/08/20,zaif,BTC,ZAIF,SELL,10,0.0000011,0,0.000011
2017/08/20,zaif,BTC,ZAIF,BUY,27591,0.00000089,0,0.02455599
2017/08/20,zaif,BTC,ZAIF,BUY,42696,0.00000089,0,0.03799944
2017/08/20,zaif,BTC,ZAIF,BUY,776,0.00000089,0,0.00069064
2017/08/20,zaif,BTC,ZAIF,BUY,132074,0.00000089,0,0.11754586
2017/08/20,zaif,BTC,ZAIF,BUY,129,0.00000089,0,0.00011481
